"examples\\j30.sm\\j3037_4.sm"; 83; 801.7509ms
"examples\\j30.sm\\j3037_5.sm"; 80; 718.9118ms
"examples\\j30.sm\\j3037_6.sm"; 73; 514.1516ms
"examples\\j30.sm\\j3037_7.sm"; 92; 747.0273ms
"examples\\j30.sm\\j3037_8.sm"; 72; 692.2426ms
"examples\\j30.sm\\j3037_9.sm"; 57; 606.7114ms
"examples\\j30.sm\\j3038_1.sm"; 48; 595.1397ms
"examples\\j30.sm\\j3038_10.sm"; 0; 537.5613ms
"examples\\j30.sm\\j3038_2.sm"; 54; 677.5661ms
"examples\\j30.sm\\j3038_3.sm"; 59; 684.2097ms
"examples\\j30.sm\\j3038_4.sm"; 59; 629.5624ms
"examples\\j30.sm\\j3038_5.sm"; 71; 661.4557ms
"examples\\j30.sm\\j3038_6.sm"; 63; 97.1193ms
"examples\\j30.sm\\j3038_7.sm"; 65; 631.8551ms
"examples\\j30.sm\\j3038_8.sm"; 61; 546.9308ms
"examples\\j30.sm\\j3038_9.sm"; 63; 868.2627ms
"examples\\j30.sm\\j3039_1.sm"; 55; 18.7283ms
"examples\\j30.sm\\j3039_10.sm"; 60; 567.8348ms
"examples\\j30.sm\\j3039_2.sm"; 54; 37.9388ms
"examples\\j30.sm\\j3039_3.sm"; 54; 570.0174ms
"examples\\j30.sm\\j3039_4.sm"; 53; 27.7392ms
"examples\\j30.sm\\j3039_5.sm"; 55; 84.7268ms
"examples\\j30.sm\\j3039_6.sm"; 69; 625.5177ms
"examples\\j30.sm\\j3039_7.sm"; 56; 718.399ms
"examples\\j30.sm\\j3039_8.sm"; 67; 10.0438ms
"examples\\j30.sm\\j3039_9.sm"; 64; 609.9984ms
"examples\\j30.sm\\j303_1.sm"; 72; 11.3057ms
"examples\\j30.sm\\j303_10.sm"; 59; 798.7554ms
"examples\\j30.sm\\j303_2.sm"; 40; 888.2543ms
"examples\\j30.sm\\j303_3.sm"; 57; 7.3567ms
"examples\\j30.sm\\j303_4.sm"; 98; 5.5179ms
"examples\\j30.sm\\j303_5.sm"; 53; 1.0006773s
"examples\\j30.sm\\j303_6.sm"; 54; 775.113ms
"examples\\j30.sm\\j303_7.sm"; 48; 5.3721ms
"examples\\j30.sm\\j303_8.sm"; 54; 4.038ms
"examples\\j30.sm\\j303_9.sm"; 65; 834.5581ms
"examples\\j30.sm\\j3040_1.sm"; 51; 8.1708ms
"examples\\j30.sm\\j3040_10.sm"; 51; 8.6687ms
"examples\\j30.sm\\j3040_2.sm"; 56; 7.8984ms
"examples\\j30.sm\\j3040_3.sm"; 57; 8.6047ms
"examples\\j30.sm\\j3040_4.sm"; 57; 8.0711ms
"examples\\j30.sm\\j3040_5.sm"; 65; 8.0782ms
"examples\\j30.sm\\j3040_6.sm"; 60; 8.0401ms
"examples\\j30.sm\\j3040_7.sm"; 46; 8.47ms
"examples\\j30.sm\\j3040_8.sm"; 57; 7.9887ms
"examples\\j30.sm\\j3040_9.sm"; 64; 8.4745ms
"examples\\j30.sm\\j3041_1.sm"; 88; 706.8229ms
"examples\\j30.sm\\j3041_10.sm"; 100; 952.6212ms
"examples\\j30.sm\\j3041_2.sm"; 89; 791.4947ms
"examples\\j30.sm\\j3041_3.sm"; 85; 712.0545ms
"examples\\j30.sm\\j3041_4.sm"; 78; 811.9327ms
"examples\\j30.sm\\j3041_5.sm"; 99; 713.5877ms
"examples\\j30.sm\\j3041_6.sm"; 103; 806.4681ms
"examples\\j30.sm\\j3041_7.sm"; 92; 841.4836ms
"examples\\j30.sm\\j3041_8.sm"; 88; 897.2217ms
"examples\\j30.sm\\j3041_9.sm"; 92; 815.5268ms
"examples\\j30.sm\\j3042_1.sm"; 58; 119.0663ms
"examples\\j30.sm\\j3042_10.sm"; 75; 16.5065ms
"examples\\j30.sm\\j3042_2.sm"; 50; 689.4695ms
"examples\\j30.sm\\j3042_3.sm"; 60; 674.839ms
"examples\\j30.sm\\j3042_4.sm"; 49; 615.2805ms
"examples\\j30.sm\\j3042_5.sm"; 52; 73.7991ms
"examples\\j30.sm\\j3042_6.sm"; 67; 649.2591ms
"examples\\j30.sm\\j3042_7.sm"; 66; 704.1455ms
"examples\\j30.sm\\j3042_8.sm"; 82; 693.2804ms
"examples\\j30.sm\\j3042_9.sm"; 60; 766.9687ms
"examples\\j30.sm\\j3043_1.sm"; 55; 650.9301ms
"examples\\j30.sm\\j3043_10.sm"; 60; 572.4308ms
"examples\\j30.sm\\j3043_2.sm"; 43; 95.9927ms
"examples\\j30.sm\\j3043_3.sm"; 57; 657.7174ms
"examples\\j30.sm\\j3043_4.sm"; 67; 36.3122ms
"examples\\j30.sm\\j3043_5.sm"; 64; 712.1444ms
"examples\\j30.sm\\j3043_6.sm"; 58; 519.5267ms
"examples\\j30.sm\\j3043_7.sm"; 52; 120.5689ms
"examples\\j30.sm\\j3043_8.sm"; 62; 223.1625ms
"examples\\j30.sm\\j3043_9.sm"; 57; 607.2774ms
"examples\\j30.sm\\j3044_1.sm"; 50; 7.9801ms
"examples\\j30.sm\\j3044_10.sm"; 63; 7.8707ms
"examples\\j30.sm\\j3044_2.sm"; 54; 8.0499ms
"examples\\j30.sm\\j3044_3.sm"; 51; 8.4617ms
"examples\\j30.sm\\j3044_4.sm"; 57; 7.3227ms
"examples\\j30.sm\\j3044_5.sm"; 55; 8.4639ms
"examples\\j30.sm\\j3044_6.sm"; 56; 7.9649ms
"examples\\j30.sm\\j3044_7.sm"; 42; 9.479ms
"examples\\j30.sm\\j3044_8.sm"; 49; 8.4811ms
"examples\\j30.sm\\j3044_9.sm"; 64; 8.2709ms
"examples\\j30.sm\\j3045_1.sm"; 82; 716.472ms
"examples\\j30.sm\\j3045_10.sm"; 90; 737.3124ms
"examples\\j30.sm\\j3045_2.sm"; 125; 937.1168ms
"examples\\j30.sm\\j3045_3.sm"; 92; 742.3883ms
"examples\\j30.sm\\j3045_4.sm"; 84; 781.5469ms
"examples\\j30.sm\\j3045_5.sm"; 89; 597.0293ms
"examples\\j30.sm\\j3045_6.sm"; 129; 932.7779ms
"examples\\j30.sm\\j3045_7.sm"; 101; 756.7025ms
"examples\\j30.sm\\j3045_8.sm"; 94; 691.746ms
"examples\\j30.sm\\j3045_9.sm"; 84; 717.9866ms
"examples\\j30.sm\\j3046_1.sm"; 59; 654.967ms
"examples\\j30.sm\\j3046_10.sm"; 55; 715.5266ms
"examples\\j30.sm\\j3046_2.sm"; 67; 719.7477ms
"examples\\j30.sm\\j3046_3.sm"; 65; 642.1223ms
"examples\\j30.sm\\j3046_4.sm"; 64; 589.8984ms
"examples\\j30.sm\\j3046_5.sm"; 57; 666.3201ms
"examples\\j30.sm\\j3046_6.sm"; 59; 647.1257ms
"examples\\j30.sm\\j3046_7.sm"; 59; 656.027ms
"examples\\j30.sm\\j3046_8.sm"; 59; 659.2953ms
"examples\\j30.sm\\j3046_9.sm"; 49; 649.3456ms
"examples\\j30.sm\\j3047_1.sm"; 58; 72.1628ms
"examples\\j30.sm\\j3047_10.sm"; 60; 659.2604ms
"examples\\j30.sm\\j3047_2.sm"; 59; 12.5925ms
"examples\\j30.sm\\j3047_3.sm"; 55; 81.2643ms
"examples\\j30.sm\\j3047_4.sm"; 49; 613.7785ms
"examples\\j30.sm\\j3047_5.sm"; 47; 606.8977ms
"examples\\j30.sm\\j3047_6.sm"; 53; 660.8534ms
"examples\\j30.sm\\j3047_7.sm"; 66; 713.1282ms
"examples\\j30.sm\\j3047_8.sm"; 48; 33.6838ms
"examples\\j30.sm\\j3047_9.sm"; 65; 31.538ms
"examples\\j30.sm\\j3048_1.sm"; 63; 7.5063ms
"examples\\j30.sm\\j3048_10.sm"; 54; 8.0597ms
"examples\\j30.sm\\j3048_2.sm"; 54; 7.7985ms
"examples\\j30.sm\\j3048_3.sm"; 50; 8.3747ms
"examples\\j30.sm\\j3048_4.sm"; 57; 8.1893ms
"examples\\j30.sm\\j3048_5.sm"; 58; 8.55ms
"examples\\j30.sm\\j3048_6.sm"; 58; 8.0907ms
"examples\\j30.sm\\j3048_7.sm"; 55; 8.4648ms
"examples\\j30.sm\\j3048_8.sm"; 44; 8.1615ms
"examples\\j30.sm\\j3048_9.sm"; 59; 8.9776ms
"examples\\j30.sm\\j304_1.sm"; 49; 4.0249ms
"examples\\j30.sm\\j304_10.sm"; 48; 10.6613ms
"examples\\j30.sm\\j304_2.sm"; 60; 3.7238ms
"examples\\j30.sm\\j304_3.sm"; 47; 3.8306ms
"examples\\j30.sm\\j304_4.sm"; 57; 7.3422ms
"examples\\j30.sm\\j304_5.sm"; 59; 4.1636ms
